fold,model,roc_auc,pr_auc,brier,accuracy,precision,recall,f1,logloss,ece
7,grad_boost,0.9330357142857143,0.9496840659340657,0.0950308830467732,0.9,1.0,0.7857142857142857,0.88,0.32309145001080647,0.5224830089340761
7,tan_bayes,0.9821428571428571,0.9815476190476189,0.06488574546936114,0.9,0.9230769230769231,0.8571428571428571,0.888888888888889,0.20871283646606378,0.540554857130599
8,logreg_L2,0.875,0.8792919906890495,0.15901090828131587,0.7666666666666667,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.4640925402166498,0.4616188785580999
8,svm_rbf,0.8839285714285714,0.8853612657184085,0.14539516628495971,0.8,0.75,0.8571428571428571,0.7999999999999999,0.43716480740859154,0.4159759727176842
8,categorical_nb_discretized,0.84375,0.8628790981275452,0.2179568345870449,0.7666666666666667,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7402764508111911,0.48930705976275
8,random_forest,0.8705357142857142,0.872687319661773,0.1458957500401436,0.7333333333333333,0.6875,0.7857142857142857,0.7333333333333334,0.4352266632594131,0.37557709622888624
8,grad_boost,0.8928571428571428,0.9052978767264481,0.16516386994061044,0.7333333333333333,0.6666666666666666,0.8571428571428571,0.75,0.4901786735951889,0.3837874734109137
8,tan_bayes,0.8660714285714286,0.8969105428732758,0.20605689169446484,0.6666666666666666,0.6111111111111112,0.7857142857142857,0.6875000000000001,0.5837501044739724,0.4612173136323273
9,logreg_L2,0.9419642857142857,0.9656084656084656,0.06413497393891303,0.9666666666666667,1.0,0.9285714285714286,0.962962962962963,0.25462496593703715,0.5248183240398608
9,svm_rbf,0.9375,0.9575091575091574,0.09444647234690605,0.9,1.0,0.7857142857142857,0.88,0.33297915655557625,0.5355489753362314
9,categorical_nb_discretized,0.9330357142857142,0.937442629833934,0.0979561368137725,0.9,0.9230769230769231,0.8571428571428571,0.888888888888889,0.40961191591219026,0.5339152334830118
9,random_forest,0.9553571428571428,0.9627976190476188,0.0894062906629934,0.9,1.0,0.7857142857142857,0.88,0.30932933012567176,0.49292149158627224
9,grad_boost,0.9598214285714286,0.9689239332096473,0.0799774967966237,0.9333333333333333,1.0,0.8571428571428571,0.923076923076923,0.27383800610150877,0.5043379876945314
9,tan_bayes,0.9196428571428571,0.9276274146022043,0.12479339153311055,0.8333333333333334,0.9090909090909091,0.7142857142857143,0.8,0.40331523224561394,0.48725348098086446
10,logreg_L2,0.8839285714285714,0.8907810652171553,0.14199342412058566,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.4217445860567155,0.43968199067313884
10,svm_rbf,0.9107142857142857,0.915264121843069,0.1350532954908429,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.41033968556589095,0.43316661580899796
10,categorical_nb_discretized,0.875,0.8924860853432282,0.1542293554171815,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.5289131437210481,0.5188733500046306
10,random_forest,0.9107142857142857,0.9059186513520878,0.13953446292580365,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.4269895967985625,0.4326473195273169
10,grad_boost,0.8214285714285714,0.7955535205535205,0.19092745918623247,0.7,0.7272727272727273,0.5714285714285714,0.64,0.6362533369271539,0.5197524421856353
10,tan_bayes,0.8482142857142857,0.8702588611202056,0.1479675686999552,0.8,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.48176267069705686,0.40361676432902777
