fold,model,roc_auc_macro,roc_auc_weighted,pr_auc_macro,accuracy,precision_macro,recall_macro,f1_macro,logloss,brier_macro,ece
7,random_forest,0.838168586585828,0.8800095995958066,0.4848890608875129,0.6333333333333333,0.3850877192982456,0.5,0.3995238095238095,0.943240687230236,0.4784558619843591,0.18416946220372568
7,grad_boost,0.7362431223948465,0.804548945307566,0.43664393449687566,0.6333333333333333,0.4745614035087719,0.3775,0.4063492063492064,1.3660959934630463,0.5765084349016547,0.2178321595449887
7,tan_bayes,0.834010989010989,0.8617216117216118,0.6439419191919191,0.6666666666666666,0.42666666666666664,0.39,0.3815873015873016,1.0917177021845659,0.49835801757111203,0.22337678764766364
8,logreg_L2,0.7481019136036378,0.8059262346848555,0.4663056567615391,0.5,0.3547619047619047,0.3,0.3242857142857143,1.1545069912135417,0.5806385905833754,0.2407163253202405
8,svm_rbf,0.7609565555134521,0.8051994442339268,0.4132688811465228,0.5333333333333333,0.2847222222222222,0.3025,0.29107142857142854,1.0209863508326162,0.5232944420230762,0.1958772727229578
8,categorical_nb_discretized,0.7277667108753315,0.8225835543766579,0.4544204839726612,0.5,0.3358974358974359,0.3375,0.3288669950738916,1.1956945103058847,0.5899141350066561,0.22822627176335458
8,random_forest,0.7613895793861312,0.8344478969306554,0.4202758944486885,0.6,0.39,0.4125,0.397741935483871,1.074955688122438,0.5486835010729467,0.16138451648147967
8,grad_boost,0.6524694581280788,0.7515139573070607,0.38375052086516204,0.5,0.30142857142857143,0.29,0.29444444444444445,1.506085581942666,0.6375658061031614,0.269235235725826
8,tan_bayes,0.7035502273588481,0.8023344701275736,0.5170693784557949,0.6,0.4533333333333333,0.46749999999999997,0.452014652014652,1.3229021725230679,0.6241870885147313,0.23205108462171778
9,logreg_L2,0.7503265441455097,0.837049387394215,0.4956471591533445,0.6666666666666666,0.508421052631579,0.39,0.4228571428571429,1.0200188510511403,0.4885879294655208,0.2244743884071035
9,svm_rbf,0.7790199507389163,0.8613497536945812,0.4433856278525396,0.6333333333333333,0.48545454545454547,0.33999999999999997,0.3550877192982457,0.9249737532470038,0.46738294874827774,0.20245190264385127
9,categorical_nb_discretized,0.7796633573323228,0.854983453328281,0.44682651212092006,0.6333333333333333,0.31333333333333335,0.3675,0.3380867498514557,1.1363013421073414,0.526533605549745,0.19907614352764166
9,random_forest,0.7865748957938614,0.8699578123026399,0.4901702727312248,0.6,0.29333333333333333,0.29,0.2808080808080808,0.9400680479124884,0.4682672331925946,0.2140029444048239
9,grad_boost,0.7135368321333838,0.7768508273335859,0.4583498840717595,0.6,0.5696969696969697,0.3275,0.3542583732057416,1.3616553950760235,0.5952870816778583,0.23644317820736624
9,tan_bayes,0.7527787419477076,0.808060376405204,0.489083936896437,0.5666666666666667,0.5638095238095238,0.3525,0.39387387387387385,1.1594880524377287,0.5463505225168189,0.21318010059551193
10,logreg_L2,0.7818435581659721,0.7963011241631931,0.4772555632425249,0.5666666666666667,0.25,0.2875,0.2666666666666667,1.0352552908630588,0.5498880786630023,0.1987443042433351
10,svm_rbf,0.7858175824175824,0.7940879120879121,0.5706668178546376,0.5,0.14285714285714285,0.1875,0.16216216216216217,1.0017187960592466,0.522625967532519,0.18997596292988017
10,categorical_nb_discretized,0.800616691928761,0.8476667929771378,0.41248575933870046,0.5666666666666667,0.2745614035087719,0.27749999999999997,0.27301587301587305,1.03704730611851,0.5699269118729814,0.222545464650949
10,random_forest,0.7723651383099658,0.8018256915498295,0.4245159991689597,0.5333333333333333,0.2473684210526316,0.275,0.25999999999999995,1.0211571573739986,0.5206797038111675,0.1350097717970066
10,grad_boost,0.6734492231906024,0.7464127826196791,0.3547670764522478,0.43333333333333335,0.1368421052631579,0.1625,0.1485714285714286,1.7275040137790811,0.768583047181242,0.3624521461754752
10,tan_bayes,0.6678147972716937,0.7286573196918023,0.3971915121172021,0.5666666666666667,0.34555555555555556,0.315,0.3213725490196079,1.5141864037459818,0.6322765542827151,0.20527244014482973
